trust_type,trust_name,system_name,user_category,sus_score,csus_score,review_positive_text,review_negative_text,,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),Manager,57.5,30,quick access to progress notes and documentation,too many different places to record information leads to confusion and different people using it in different ways,,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),Psychologist,27.5,17.5,,,,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),"Administrative staff - eg ward clerk, clinical coder, secretary",95,47.5,Its easy to access and use. ,"Not much, just possibly have a help section in case one gets stuck.",,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),"Community Nurse - School Nurse, Health Visitor etc",52.5,32.5,,,,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),Secondary Care / Inpatient Nurse,75,40,,,,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),Psychologist,30,32.5,Ability to access clinical history in one place,"can be slow, cumbersome, counterintuitive and inaccessible",,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),"Administrative staff - eg ward clerk, clinical coder, secretary",60,25,,Progress notes - the filter is not sufficient for reducing time to search for specifics. We also need to be able to just type in a date and go direct to the notes for that time period.,,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),"Administrative staff - eg ward clerk, clinical coder, secretary",45,20,,"Some things were changed that were good.  Now the changes have been made and I cannot complete these tasks.  Printing a care plan - I was told by IT to cut and paste.   This is a legal document, surely this is incorrect information?  Why can I no longer print a care plan? ",,,
Mental Health Foundation Trust,"Tees, Esk and Wear Valleys NHS Foundation Trust",Paris (Civica),Psychologist,62.5,30,Being able to access relevant clinical information about clients e.g. casenotes / letters.,Reduce frequency of system freezing / being locked out etc.,,,
Community Trust,Central London Community Healthcare NHS Trust,Patient Centre (CSC),"Community Nurse - School Nurse, Health Visitor etc",72.5,37.5,,,,,
Mental Health Trust (non-Foundation),Devon Partnership NHS Trust,Carenotes (Advanced Health & Care),Secondary / Tertiary Care Doctor,65,27.5,that it is configurable locally as opposed to Rio.,The uploaded documents section (correspondence) is an absolute disaster. There is no way one can find the relevant documents easily. There should be options of creating folders and subfolders or something different.,,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),Psychologist,45,22.5,Having all notes in one record system,Not very tailored to CAMHS services,,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),"Physiotherapy, OT, Medical Technicians",40,30,"Being linked in to other professionals reports, concerns.","Having to click fewer links to get to the information needed.
Clearer menu screens.
Easier ways of extracting data into report",,,
Mental Health Foundation Trust,"Tees, Esk and Wear Valleys NHS Foundation Trust",Paris (Civica),"Community Nurse - School Nurse, Health Visitor etc",50,25,,Software is not the issue. Reliable and up to date easily accessible hardware would be a good starting point.,,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),"Physiotherapy, OT, Medical Technicians",62.5,30,"Ability to check patient records from multiple disciplines within a single system

Ability to check patient records off-site

Ability to write my notes off-site without going back to base","I would like to be able to look up patients by school

I would like to be able to see my individual caseload

I would like my clients' parents' names to be recorded to make it easier to ensure I am speaking to the right person when I phone

If I have problems with accessing the system it can be difficult to contact IT support to resolve the problem in a clinically appropriate timescale - and often with more specific aspects of RiO the IT technicians don't understand the system well enough to be able to resolve the problem. More specialist IT support available more consistently would be useful
",,,
Mental Health Foundation Trust,East London NHS Foundation Trust,IAPTUS,"Administrative staff - eg ward clerk, clinical coder, secretary",47.5,27.5,it exists. less paperwork,it is not user friendly and slow.  It does not automatically update and save Patient's email address,,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),"Community Nurse - School Nurse, Health Visitor etc",60,27.5,"I like that fact that we know how mobile Rio, which makes life a little more flexible","You need to go through several windows to get where you are going and you cannot flip from one to the other you have to open and close. No dairy on mobile rio, templates for forms or ability to change patient details to improve care.",,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),"Administrative staff - eg ward clerk, clinical coder, secretary",77.5,40,"Quick access to administrative and clinical data.  Being able to upload documents, being able to quickly found out who is involved with patients etc.",Being reminded to enter HCP's name every time. ,,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),Secondary / Tertiary Care Doctor,5,12.5,I can access it day and night from any Trust site,"I would allow the system to ""find"" items linked to quality targets simply via keywords, rather than constantly being told that something hasn't been done at all because the place for recording it has changed-yet again- and it has simply been entered in the wrong part of the record.

I would get rid of ""My Crisis Plan"" as it is tedious , repetitive, and really irritates patients.",,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),Psychologist,70,30,Qutie easy to use so doesn't take up too much time,There have recently been additions to the drop down menus eg reason for when a patient cancels their session. it is unclear how this many options is of use to anybody and makes more sense that these should just be more general categories and the specific reason recorded in the notes. ,,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),Secondary Care / Inpatient Nurse,62.5,22.5,Being able to access information easily for a patient and being able to have it readily available. ,"Too may updates sand changes for clinical/hand off staff to keep abreast of, you get used who to navigate and it all changes and the different areas don't always link smoothly, ",,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),"Community Nurse - School Nurse, Health Visitor etc",77.5,32.5,Integrated physical and mental health records,Nothing,,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),"Community Nurse - School Nurse, Health Visitor etc",70,35,The integrated service. I can see what other services do.,Can think right now,,,
Mental Health Foundation Trust,Lancashire Care NHS Foundation Trust,Emis Health OptoMize,"Administrative staff - eg ward clerk, clinical coder, secretary",70,20,A clear pathway you can move through with each interaction.,Emis do not allow you to move outside of the specified pathway at all.  Any exceptions require a ticket to be opened with Emis and for them to manually modify the database!,,,
Mental Health Foundation Trust,Oxford Health NHS Foundation Trust,RiO (Servelec Healthcare),"Physiotherapy, OT, Medical Technicians",67.5,10,"Accessibility to reports form other clinicians involved in the client's management but this is dependent on the information being uploaded. Having electronic access to patient records means that I do not need to carry PID folders with me; however, consistent internet access is imperative for this access otherwise the system is useless.",I would like a filter on each dropdown list so that I could filter out the options that I never use. I could then 'unlock' the other options if/when I need them. this would save me lots of time scrolling through long lists of options that I never use.,,,
Community Trust,OtherOxleas NHS Foundation Trust,RiO (Servelec Healthcare),"Administrative staff - eg ward clerk, clinical coder, secretary",95,25,The system is logically organised and it's easy to find information/documentation for clients,"Increase the size for uploading of documents and included user ID history for certain steps (e.g. creating/deleting of referrals, changes of address, adding or deleting entries on monthly team planners)",,,
Mental Health Trust (non-Foundation),Devon Partnership NHS Trust,IAPTUS,Psychologist,87.5,35,"Clarity
Changes over the years have been improvements from a once cumbersome system. ","Diary function 
Enlarge the tick boxes on questionnaires",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,isoft clinical manmager,Secondary Care / Inpatient Nurse,70,32.5,Access to historical and up to date information made by different specialties,Have direct access to the other main systems we use along side it like medchart,,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),"Community Nurse - School Nurse, Health Visitor etc",55,20,Writing progress notes is simple to do.,"It is a mental health system and this makes it difficult to work with if the clients you are working with o not have a mental health condition, especially the reviewing system.",,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),Nurse,45,25,it enables other clinicians to have access to records electronically,N/A,,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),Child Psychotherapist,27.5,20,I am able to see patient history and contacts with other Children's services,"Make it appropriate for those who work in CAMHS.
Change system so that I only have to input info once. When recording risk info, and other sections I have to put the same date in repeatedly.
make the sections easier to find so that info can be put in the right place.
make the risk assessment appropriate for CAMHS
have a system where you cannot continue unless you have put info in correctly and completed everything. Too often , this doesn't happen and data are missed out because there is no reminder to clinician about filling something in
Why does system keep flagging up that things aren't recorded when they have been recorded?",,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),"Community Nurse - School Nurse, Health Visitor etc",55,27.5,"I don't have a choice, I don't really like it","A lot more inter-linkage of data, everything has to be input into so many areas one could spend a shift on just one client, let alone a whole caseload. Mostly I would not allow it to log me out while I am typing/using it as is the case at the moment",,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),"Administrative staff - eg ward clerk, clinical coder, secretary",57.5,22.5,"Clear print
Accesssability",List clinical codes as inputted,,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),"Physiotherapy, OT, Medical Technicians",77.5,35,"That I can am able to view notes and records from other health professionals and services involved with the client. 
That it is easy to use for my day to day clinical record keeping.",,,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,i.CM (CSC),"Physiotherapy, OT, Medical Technicians",70,20,,,,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),"Physiotherapy, OT, Medical Technicians",42.5,20,"That other health colleagues access it also - However, contemporaneous records differ from team to team and this can be misleading in a client's recent history, contact and episode of care.","Too much admin versus client time!

Contemporaneous recording",,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),"Administrative staff - eg ward clerk, clinical coder, secretary",35,25,,"The system is too fussy, too much going on. Have to plough through things to get to what you need.",,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),Manager,62.5,30,Available on Ipad,Not having to input repeat information in different parts. ,,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),"Physiotherapy, OT, Medical Technicians",57.5,35,Accessibility from various sites- universal electronic record for this tryst,"Number of clicks involved to assess relevant information required. 
Eliminate loss of data from use of progress notes in accurately",,,
Mental Health Foundation Trust,"Tees, Esk and Wear Valleys NHS Foundation Trust",Paris (Civica),Psychologist,27.5,5,Nothing,"Just about everything.
It needs to be considerably simplified, reduce large arrays of tick boxes to simple single field narratives (eg. risk). Have a simple section on personal time line history, and finding information needs to be much easier. I can go on...... It has evolved into bolt-ons added to bolt-ons and has become disorganised and disintegrated  - an IT camel indeed. The worst system I have encountered in 30 years. REO knocks spots off Paris!",,,
Mental Health Trust (non-Foundation),North Staffordshire Combined Healthcare NHS Trust,IAPTUS,,72.5,32.5,,,,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS HILLINGDON CCG,EMIS Web (EMIS Health),Manager,42.5,27.5,"not much , but it does most of the job",The developers to live in the real world and actualy do this that would help us rather than thing that are easy or they think are importnat,,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS NORTH HAMPSHIRE CCG,EMIS Web (EMIS Health),Primary Care Doctor - GP,85,47.5,"Ease of use, clarity of Data and safeguards to guard against errors","Nothing, just improve integration with other systems.",,,
Mental Health Trust (non-Foundation),Devon Partnership NHS Trust,Carenotes (Advanced Health & Care),Community Support staff,40,35,Being able to read other's notes to ensure continuity of care,"The colours, clunky procedures (eg having to discharge and close allocated worker on 2 different pages takes much longer than it did on RiO)",,,
Acute Foundation Trust,Wirral University Teaching Hospital NHS Foundation Trust,Millennium (Cerner),IT or Technical Staff,75,42.5,All information easily accessible,n/a,,,
Acute Foundation Trust,Warrington and Halton Hospitals NHS Foundation Trust,Lorenzo (CSC),Secondary / Tertiary Care Doctor,27.5,22.5,The relevant data is there and available - but only if you know how to find it,The user interface/user experience needs a total overhaul,,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS VALE OF YORK CCG,SystmOne GP (TPP),IT or Technical Staff,70,20,The system providers (TPP) seem very keen to update and improve their product on a regular basis.,It changes every month already.,,,
Acute Foundation Trust,OtherUHCW,Lorenzo (CSC),"Physiotherapy, OT, Medical Technicians",50,32.5,Integration with RIS,"Ensure there is a bilateral feed with RIS, so one is able to access the full patient record either in Lorenzo or in RIS using patient context.",,,
Acute Foundation Trust,Cambridge University Hospitals NHS Foundation Trust,EpicCare (Epic),IT or Technical Staff,72.5,35,,,,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS SHEFFIELD CCG,EMIS Web (EMIS Health),Primary Care Doctor - GP,87.5,47.5,"Clean Interface.
Can be used at many levels from asic to highly advanced depending on user need and desire",More consistent keyboard functionality,,,
Acute Trust (non-Foundation),Leeds Teaching Hospitals NHS Trust,,Secondary / Tertiary Care Doctor,60,27.5,Search,"It's too slow, the links often don't work, ot has significant downtime. In the acute phase when demographic information is limited it is hard to find patients ",,,
Acute Foundation Trust,Doncaster and Bassetlaw Hospitals NHS Foundation Trust,CaMIS (EMIS Health),IT or Technical Staff,37.5,12.5,the screen layout and access to icons is good,"correcting errors i.e. data quality is very cumbersum and requires several system areas to be accessed for simple changes.
system configuration does not have any shortcuts to make it quick and simple such as searching for the element to configure. this is extreamly time consuming and involves scolling a long list of items to reach the one to edit.",,,
Mental Health Foundation Trust,Nottinghamshire Healthcare NHS Foundation Trust,RiO (Servelec Healthcare),Psychologist,75,35,Ease of accessing patient's notes and updating my own information regarding patient contact.,Make spellchecking simpler!,,,
Acute Foundation Trust,Northern Lincolnshire and Goole Hospitals NHS Foundation Trust,SystmOne Community (TPP),"Physiotherapy, OT, Medical Technicians",82.5,42.5,Shared information,More 'intelligence' built int the system to reduce need for manual processes,,,
Mental Health Foundation Trust,South Staffordshire and Shropshire Healthcare NHS Foundation Trust,IAPTUS,Primary Care Nurse - eg GP Practice Nurse,77.5,35,,,,,
Mental Health Trust (non-Foundation),Coventry and Warwickshire Partnership NHS Trust,IAPTUS,"Physiotherapy, OT, Medical Technicians",87.5,40,"a large amount of information is broken down and presented in an accessable and intutive way, ",I would like to be able to read the 'episode summary' while writing the current 'clinical summary (clinical notes)'.,,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS HILLINGDON CCG,EMIS Web (EMIS Health),Primary Care Nurse - eg GP Practice Nurse,70,25,,,,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),Psychologist,37.5,20,Can easily see information from other clinicians working with the same service user,"Extremely cumbersome having to go in and out of different screens to enter information, would prefer a one screen or form (per service) where all mandatory info required can be entered.
Being able to lock screens so that service users could complete questionnaires without being able to access the rest of their clinical records.",,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),"Community Nurse - School Nurse, Health Visitor etc",77.5,37.5,you can access patients records from any base,I would make more of the system available on the App for ipad,,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS WAKEFIELD CCG,SystmOne GP (TPP),Primary Care Doctor - GP,60,25,Prescribing support ,Ergonomics,,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,epr isoft clinical manager,Secondary / Tertiary Care Doctor,42.5,22.5,,the system for getting support and help which is cumbersome and not releavent to the speed needed in medicine,,,
Mental Health Foundation Trust,Leeds and York Partnership NHS Foundation Trust,Paris (Civica),Secondary Care / Inpatient Nurse,17.5,20,I can access information from a persons recent and historical contact with services.,"Most things as it's pretty terrible. The first thing would be to stop it disconnecting and reconnecting every 5 minutes thus rendering using the system whilst on triage impossible at times. 
It should also be far easier than it is to find a timeline of contacts, care plans, crisis plans etc. Overall this system is very poor.",,,
Community Trust,Central London Community Healthcare NHS Trust,RiO (Servelec Healthcare),IT or Technical Staff,22.5,12.5,"Nothing, very poor to configure for clinical services. extremely poor design module for letters and forms. 

DOES NOT FEEL OR LOOK LIKE AN ENTERPRISE SYSTEM FOR HEALTHCARE. NHS HAS BEEN RIPPED OFF!","move to Cerner or other appropriate suppliers, implementing RiO & OPEN RiO has been far too expensive. To data entered in error i.e. progress note from client record cost per note is in hundreds... there is not justification for the amount.",,,
Mental Health Foundation Trust,East London NHS Foundation Trust,IAPTUS,,70,35,It is very userfriendly,Working remotely often causes problems due to poor (internet?) connections - it is frequently difficult to log on and often whilst working on the computer the connection goes off causing me to have to log on again and for work to be re-typed: a lot of valuable time is wasted when the system is/goes down.,,,
Acute Trust (non-Foundation),Hull and East Yorkshire Hospitals NHS Trust,Lorenzo (CSC),"Administrative staff - eg ward clerk, clinical coder, secretary",37.5,17.5,ability to scan documents on to the system,"improve word processing facility - 
to be able view and print all results 
to have patient's telephone numbers recorded on system
to make it easier to read whether or not a patient is on a waiting list 
improvement to system so that its not constantly crashing and freezing, at present this happens on a daily basis",,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),Secondary Care / Inpatient Nurse,47.5,22.5,To see any previous patient encounters.,To make it easier to use,,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS DORSET CCG,Adastra (Advanced Health & Care),Primary Care Doctor - GP,67.5,25,"I mainly work for the Out of Hours Sevice (for SWAST) and use Adastra (version 3). It is very simple and easy to use, but there is still masses of room for improvement. [However the older system (that we use when doing Home Visits) is absolutely rubbish!]","The notes that are forwarded to the patient's regular GP need to be drastically simplified and clarified for them to be clinically useful.
The older versions need to still list Previous Encounters and have access to the Summary Care Record - this is vital for patient safety.
Some of the new add-on features (such as Issuing Stock) don't work properly and slow down consultations. Not printing test results and observations on File Case Summaries is also not good enough.",,,
Mental Health Foundation Trust,South Staffordshire and Shropshire Healthcare NHS Foundation Trust,IAPTUS,Psychological Wellbeing Practitioner,52.5,32.5,It is tailor made for IAPT services and I understa it is better than the other alternatives ,"There is a lot of duplication accross the system resulting in wasted time.
It would be useful to be linked in with secondary care MH notes (at least letters etc)
It seems to want to be all things to all people, it would be good to have a more streamlined system tailored to what is needed by the service using it.",,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),Secondary / Tertiary Care Doctor,22.5,10,You can access it anywhere,"Make it more streamlined and integrated--avoiding repetition of information.
Make the system faster and more responsive.",,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),Therapies Assistant,62.5,22.5,"Providing information has been inputted, it provides broad coverage of clinical data.","There needs to be an auto-save function that automatically deletes once the user has completed their input.
The auto-time out function is faulty because it does not differentiate between a user operating the system or not. ",,,
Mental Health Trust (non-Foundation),Devon Partnership NHS Trust,Carenotes (Advanced Health & Care),"Physiotherapy, OT, Medical Technicians",42.5,25,easy to access everyone notes,Too complicated for first time users and/or elder people.,,,
Mental Health Foundation Trust,Leeds and York Partnership NHS Foundation Trust,Paris (Civica),Support Worker,55,30,Access to data,"Make it quicker to access , particulary for clients with extensive input from services",,,
Mental Health Foundation Trust,Southern Health NHS Foundation Trust,IAPTUS,Psychologist,70,32.5,recording patient progress,the word processing capability for clinical notes and letters is poor,,,
Acute Trust (non-Foundation),London North West Healthcare NHS Trust,Epro (Bluewire Technologies),Secondary / Tertiary Care Doctor,97.5,35,Its easy to use and provides all the necessary information concentrated.,An alert when clinical letters are not uploaded ,,,
Acute Foundation Trust,Sheffield Teaching Hospitals NHS Foundation Trust,Lorenzo (CSC),Secondary / Tertiary Care Doctor,12.5,2.5,,,,,
Scottish Health Board,NHS Lanarkshire,Vision 3 (INPS),Primary Care Doctor - GP,17.5,0,The ability to sort drugs by BNF class,"Everything else. It's slow,awkward to use, and odder so virtually no support for actual medical work.",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,In House System (In House),Secondary / Tertiary Care Doctor,7.5,7.5,,it is absolutely hopeless,,,
Mental Health Trust (non-Foundation),Devon Partnership NHS Trust,Carenotes (Advanced Health & Care),"Administrative staff - eg ward clerk, clinical coder, secretary",60,32.5,,,,,
Mental Health Foundation Trust,"Northumberland, Tyne and Wear NHS Foundation Trust",RiO (Servelec Healthcare),Secondary / Tertiary Care Doctor,45,20,"Relatively quick to navigate, easy to access when off-site, can be modified to local needs.",Interface which is web-based but fairly dated in terms of functionality vs modern commercial websites.,,,
Mental Health Foundation Trust,"Northumberland, Tyne and Wear NHS Foundation Trust",RiO (Servelec Healthcare),"Administrative staff - eg ward clerk, clinical coder, secretary",70,27.5,The easy accessibility of patient information and ability to record as much as needed.,The automatic letters you can create on RiO, the patient information does not come out correct when madce.,,
Mental Health Foundation Trust,"Tees, Esk and Wear Valleys NHS Foundation Trust",Paris (Civica),Psychologist,50,40,That the information is there but it does rely on accurate input. It is quicker and easier to access historical information and to check how things are before I see a patient,Make it more logical or intuitive. We have to make so many mouse clicks before you get where you want. It would be great if it was voice responsive,,,
Mental Health Foundation Trust,"Northumberland, Tyne and Wear NHS Foundation Trust",RiO (Servelec Healthcare),"Administrative staff - eg ward clerk, clinical coder, secretary",82.5,37.5,The fact that we can quickly see if the patient has been referred to other teams previously and whether there are any notes available.,"The ability to amend appointments as opposed to having to cancel them and then start from scratch, although I understand that the next version will make this easier to do.",,,
Mental Health Foundation Trust,"Northumberland, Tyne and Wear NHS Foundation Trust",RiO (Servelec Healthcare),"Community Nurse - School Nurse, Health Visitor etc",37.5,27.5,,"Frequent problems relating to remote access
Reduce amount of places for storing information 
Speed up access to the various parts of the site
Introduce method of retrieving accidentally deleted work 
Ensure less interuptions and down time during working hours.",,,
Community Trust,Central London Community Healthcare NHS Trust,SystmOne Community (TPP),"Physiotherapy, OT, Medical Technicians",50,17.5,"easy to access
","different interface whereby what we need to put in and get out is easily identifiable, easy to pull data from.
Sadly it's just another software system in a long line of ones I've used in the past five years",,,
Mental Health Foundation Trust,"Northumberland, Tyne and Wear NHS Foundation Trust",RiO (Servelec Healthcare),"Community Nurse - School Nurse, Health Visitor etc",55,30,"ability to easily  access information re historicial and current information of clients which also helps with commnication

when it works properly it works well!","to have links to required documents or other pages without having to close down the page you're already working on

Information to pull through to other documents to reduce having to repetitiveness

to be able to access all documentation remotely - currently this isn't always possible

to have a warning if the system is going to shut down or log you off. Sometimes this happens automatically without giving you time to save your work. Or an autosave feature may be helpful in saving a lot of time rewriting information",,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),Manager,37.5,20,,,,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),"Administrative staff - eg ward clerk, clinical coder, secretary",60,25,,The currently overbook facility it is completely useless for our service,,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),"Physiotherapy, OT, Medical Technicians",37.5,27.5,I am not good at using the rio system it needs to be more simple and the labels and headings need to be more simple.,"make it more simple with headings and location of sections.
more colour coding too.",,,
Acute Foundation Trust,Northumbria Healthcare NHS Foundation Trust,IAPTUS,Psychologist,55,22.5,Generates letters easily. Text messages to inform clients of appointments. ,Better links between us and secondary care services. We use 2 different systems and this makes it impossible to offer joined up/cohesive services to the client (who diesn't understand why we can't do this!),,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),Secondary / Tertiary Care Doctor,45,35,Provides access to information by other service providers,"Add some features, such as prescriptions, lab test results; growth charts for children
very slow to open documents
",,,
Acute Foundation Trust,Hampshire Hospitals NHS Foundation Trust,CrossCare,IT or Technical Staff,57.5,25,,"Better Technical Support Team
Improved quality of new software releases. Some sign of testing would be appreciated.",,,
Mental Health Trust (non-Foundation),Devon Partnership NHS Trust,IAPTUS,CBT Therapist & Manager,92.5,45,Very intuitive - if you can use a website you can use IAPTus. information flows easily. ,Reporting system - Hypercube analysis - hard to get good statistical data to support service design - it's not clear how the reports work and what info they are giving you. This could be much improved but the basic clinical side is excellent. ,,,
Acute Foundation Trust,Northumbria Healthcare NHS Foundation Trust,IAPTUS,Psychological Wellbeing Practitioner ,50,32.5,episode summary tab,"1) reliability - when it goes down work is very difficult. 2) calendar functions - beign able to mark tasks to be brought forward/due dates notifed, being able to repeat personal appointments 3) the way risk is recorded is unnecessarily complicated and repetitive 4) redesign our introductory assessment page which is unwieldy at appointments 5) make the different navigation tabs stand out more clearly 6) change draft svaing of letters so that if you start another letter you cannot lsoe the one you just saved if you don't press cancel - or a warning you may be about to do so 7) make messages more manageable with more options for how to do so",,,
Acute Trust (non-Foundation),Whittington Health,Medway (System C),learning Disabilities,70,40,"I can track my patients information , alert , I easily look for patients appointment and previous letters , details of the consultants , and clinic and follow ups. 
meeting most of the patients needs in terms of information.","Editing the change of address or contact details , not done regularly when there are changes in details.
Alert system to be consistent not receiving the automated alerts emails in some cases . 
I would need more training in the use , not able to use the medway function fully as I would wish to.",,,
Mental Health Foundation Trust,South Staffordshire and Shropshire Healthcare NHS Foundation Trust,RiO (Servelec Healthcare),Psychologist,45,25,"Clinical note keeping is very effective, with built-in spell checker and effective search facilities","Not as intuitive or helpful as it could be; for instance, when inputting diary contacts it would be helpful if the list of people to choose from could be pulled through from your caseload rather than searching from scratch. Also there are inconsistencies and workarounds that people have to get used to, but which shouldn't be there (e.g. having to save a copy of the inputted Care Cluster Allocation Tool, then go back into it to finalise it). Scanned and upladed documentation becomes an unwieldy list after a while, could do with more facility to order, organize, sort and search.",,,
Mental Health Trust (non-Foundation),West London Mental Health NHS Trust,IAPTUS,PWP,75,22.5,Everything is in one place,Making it easier to navigate between tabs on a patient's file and being able to remove functions not used by my service would make it easier to use the system as a whole,,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),"Physiotherapy, OT, Medical Technicians",37.5,17.5,Progress notes are easy to write,"Progress notes search function often misses notes so you have to wade through notes to find bits of information
Care plan format is inadequate for nature of our work (work with adults with LD) and is not user friendly to share with staff or patients. Would be good to be able to attach documents to careplans
We are using a mental health framework including CPA for non-mental health client group
Can't upload many photos or any videos onto RIO which is very important for the client group we work with as you need to use images in your careplans/reports in order to make them relevant and accessible",,,
Mental Health Foundation Trust,"Tees, Esk and Wear Valleys NHS Foundation Trust",Paris (Civica),Psychologist,45,22.5,"Break glass feature protects patient's data.
","Have past diagnoses more easy to access
Make it clearer to see who is involved with patients.
Make casenotes easier to read and linked to letters.",,,
Acute Foundation Trust,Sheffield Teaching Hospitals NHS Foundation Trust,Lorenzo (CSC),"Administrative staff - eg ward clerk, clinical coder, secretary",17.5,7.5,,"To be able to type letters straight into the system and for it to have a spell check.  
Not to have to ""click"" on things as much.",,,
Mental Health Trust (non-Foundation),Devon Partnership NHS Trust,Carenotes (Advanced Health & Care),"Community Nurse - School Nurse, Health Visitor etc",7.5,2.5,,I would go back to Rio ,,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),Psychologist,35,12.5,The diary is helpful in some ways due to the colours making it a visual aid.,"- For it to be more streamlined instead so many sections.
- The format is not helpful. The screen have too much information and should be a bit clearer
- Better system for writing letters where you can add who you would like to add to the letter and the system generates the letter for you to type into as it is therefore automatically uploaded (I did this with RiO before). 
- Improving the clinical record sheet so it includes key information rather than having these under many headings. 
- Space for the names of parents would be useful next to carers 
- System for adding clinical measures, we currently add to progress notes and upload files. ",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,Carenotes (Advanced Health & Care),"Administrative staff - eg ward clerk, clinical coder, secretary",5,2.5,"If honest, I don't particularly like anything about the system. 
","I would change a lot of things from the functionality, to the overall set-up, and making it more user-friendly.",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,Carenotes (Advanced Health & Care),Manager,15,15,not much,"reduce the number of steps required to carry out registerting apatient  printing letters, the list goes on.",,,
Mental Health Foundation Trust,Dorset Healthcare University NHS Foundation Trust,Telecare (Mill Systems),Clinical Lead,40,12.5,Easy to pull data as coding applies. ,Too 'blocky' difficult to navigate & previous episodes are not tied in. ,,,
